Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1µ","C_0603_1608Metric",114.706400,-99.517200,90.000000,top
"C2","0.1µ","C_0603_1608Metric",118.643400,-96.977200,0.000000,top
"C3","0.1µ","C_0603_1608Metric",118.872000,-70.384500,90.000000,top
"C4","0.1µ","C_0603_1608Metric",117.475000,-85.484000,-90.000000,top
"C5","0.1µ","C_0603_1608Metric",113.284000,-70.638500,90.000000,top
"D1","PWR","LED_1206_3216Metric",114.935000,-50.800000,180.000000,top
"D2","SD103C","D_SOD-123",114.960400,-91.389200,-90.000000,top
"L1","10µ","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",114.681000,-86.614000,90.000000,top
"R1","5.1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",117.627400,-99.743900,90.000000,top
"R2","5.1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",119.380000,-99.743900,90.000000,top
"R3","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",120.015000,-50.800000,180.000000,top
"R4","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",115.089300,-102.514400,0.000000,top
"R5","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",114.706400,-96.189800,-90.000000,top
"U1","ATmega4809-A","TQFP-48-1EP_7x7mm_P0.5mm_EP4.11x4.11mm",116.852000,-77.949500,180.000000,top
